Unnamed: 0,counts_S93,counts_S94,counts_S107,counts_S108
ENSG00000197312.11,877,932,1127,1521
ENSG00000215695.1,0,0,0,0
ENSG00000271742.1,0,0,0,0
ENSG00000116786.12,1064,1258,895,1028
ENSG00000237938.5,3,1,2,2
ENSG00000162461.7,69,89,77,76
ENSG00000224459.1,0,0,0,0
ENSG00000162460.6,103,109,101,97
ENSG00000162458.12,5122,5443,4305,4539
ENSG00000224321.1,0,0,2,1
ENSG00000233954.6,54,86,61,90
ENSG00000178715.8,0,0,1,0
ENSG00000179743.4,22,30,44,40
ENSG00000065526.10,3248,3214,3005,3778
ENSG00000270620.1,0,0,0,0
ENSG00000116809.11,299,329,325,361
ENSG00000234607.2,0,0,0,0
ENSG00000231353.1,0,0,0,0
ENSG00000275503.1,0,0,0,0
ENSG00000224966.4,0,0,0,0
ENSG00000183888.4,0,0,0,0
ENSG00000233078.1,0,0,0,0
ENSG00000173641.17,0,0,0,0
ENSG00000186510.11,2,0,2,0
ENSG00000232456.1,0,0,1,1
ENSG00000184908.17,1,2,0,1
ENSG00000185519.8,13,19,18,44
ENSG00000142627.12,6492,7031,5895,6652
ENSG00000227959.1,48,55,31,43
ENSG00000224621.1,33,41,29,44
ENSG00000234166.1,0,0,0,0
ENSG00000142632.16,63,70,82,121
ENSG00000237276.8,50,47,46,55
ENSG00000132881.11,45,35,34,65
ENSG00000233929.1,2,0,1,3
ENSG00000037637.10,531,554,597,685
ENSG00000055070.16,1845,1794,1931,2344
ENSG00000226457.1,0,0,0,0
ENSG00000187144.11,1,2,5,0
ENSG00000157191.19,1057,1165,945,1177
ENSG00000226029.1,70,60,44,71
ENSG00000080947.14,93,68,154,170
ENSG00000206652.1,6,4,4,4
ENSG00000261135.1,0,0,0,0
ENSG00000285853.1,0,0,0,0
ENSG00000224174.2,0,0,0,0
ENSG00000233421.4,6,2,4,1
ENSG00000277344.1,0,0,0,0
ENSG00000225710.1,0,1,1,0
ENSG00000219481.10,2251,2712,2049,2444
ENSG00000271732.1,0,0,0,0
ENSG00000215908.10,413,429,506,668
ENSG00000283773.1,0,0,0,0
ENSG00000186301.8,37,36,48,89
ENSG00000282143.1,0,0,0,0
ENSG00000207513.1,0,0,0,0
ENSG00000280114.1,2,7,9,4
ENSG00000236698.1,6,9,10,8
ENSG00000268869.5,12,20,18,39
ENSG00000279151.1,0,0,2,5
ENSG00000282740.1,0,0,0,0
ENSG00000058453.16,249,232,399,512
ENSG00000227684.2,0,0,0,0
ENSG00000207389.1,0,0,0,0
ENSG00000186715.11,36,36,55,72
ENSG00000223643.6,0,0,0,0
ENSG00000230239.1,0,2,2,0
ENSG00000263811.1,0,0,0,0
ENSG00000228549.3,2,1,3,2
ENSG00000277234.1,0,0,0,0
ENSG00000238142.1,32,32,35,37
ENSG00000235241.1,0,3,0,3
ENSG00000207005.1,5,3,4,4
ENSG00000272426.1,1,1,2,1
ENSG00000117122.13,2,1,6,4
ENSG00000226526.1,3,6,5,5
ENSG00000159363.17,2016,2077,2014,2664
ENSG00000117118.9,574,584,629,822
ENSG00000117115.12,6168,6455,6316,6850
ENSG00000204362.6,0,0,0,0
ENSG00000282843.1,0,0,0,0
ENSG00000142623.10,9,6,2,12
