"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NR2C1_22613",48.6113267759707,-1.11955871909429,0.803608162950362,-1.39316494121209,0.163569918747652,0.312596173202181
"ABLIM3_22614",13.31726031836,0.42827278210585,1.23040827952733,0.348073716043568,0.727784823108402,0.849859465524131
"SLC35E2B_22615",115.361133363929,0.330619872096871,0.714376641260228,0.462808906396528,0.643501346669304,0.794516681555843
"SLITRK4_22617",26.9592144839895,-5.20616948361075,1.39817093067591,-3.7235572342317,0.000196435303402099,0.00131085790204669
"PAFAH1B2_22618",24.9748771980642,-0.140818348073662,1.17565972093028,-0.119778151421429,0.90465888996064,0.950375456135909
"FAM174C_22619",4.99836678468398,0.427809162225257,1.77651967679057,0.240813072781795,0.809699997130414,0.897939998885137
"ZBTB33_22620",66.0278758175135,-1.33887281490688,0.778584934189609,-1.7196233270304,0.0855009331022689,0.193282532951408
"LHFPL6_22621",9.95064283246824,-2.20758780673748,1.81547622191881,-1.21598277084799,0.223991485313096,0.392362833690688
"CCDC59_22623",25.0950147222914,-0.938258304611079,1.25038242485228,-0.7503770734157,0.453027635028589,0.640752681830098
"MKRN2_22624",4.49155465884598,0.29632311144609,2.39516180987957,0.123717366494329,0.901539060827317,0.949175317087427
"SMIM15_22626",49.1173729670555,-1.75403806601407,0.971644214113787,-1.80522668743917,0.0710392164154788,0.168558907139601
"VPS33B_22627",17.2578278968911,-0.639947489461172,1.18526432380578,-0.539919642064611,0.589252451359094,0.752149104801277
"NDST1_22628",64.3285508462563,1.24205888680086,0.815336579884501,1.52336951075691,0.1276662855002,0.25912849018474
"PPP1R16B_22629",16.7162893128341,-0.875605969066358,1.1062657555592,-0.791496947877369,0.428654056500526,0.618459127523052
"DNM3_22630",117.523418703463,-2.41968331571729,0.868935475981933,-2.78465246568849,0.00535851221639121,0.021208993548138
"FAM169A_22631",24.3614179083212,-8.5351114700553,1.84521130958912,-4.62554690928913,3.73611233290107e-06,5.17775854801405e-05
"BCAP29_22632",16.352365363347,0.404730655798055,1.20937073291545,0.334662188179769,0.737879927698365,0.855677212308078
"SLC50A1_22633",50.7543248637107,0.648423804468977,0.805025146101848,0.805470248487047,0.420548368155533,0.610411264041829
"UBXN7_22634",58.5397019212692,-0.443135917709632,0.776338478659595,-0.570802465536346,0.568133551460568,0.735144551354299
"DDX43_22635",23.8598769671126,-8.5046649193641,1.86853538678599,-4.55151397158857,5.32612601430548e-06,6.86427141229937e-05
"ZKSCAN5_22636",21.0285392291422,-2.21731583558683,1.64362929997901,-1.34903644977316,0.177325258718132,0.333179018982259
"NFS1_22637",14.6728620943988,1.72682974501083,1.29757190979283,1.33081622064902,0.183249489333293,0.339919175240618
"CMBL_22638",15.8778915822554,-2.07710838431175,1.20193350044347,-1.7281391886867,0.0839632730543547,0.190229444369307
"PPM1A_22639",307.918075247936,-0.468226876409671,0.631123828632076,-0.741893833139728,0.458151662501653,0.645401193515345
"LRRC61_22640",8.02899567975171,-0.326968977350548,1.42760124682569,-0.229033827252233,0.81884262448518,0.902834033973353
"BFSP1_22641",4.77896324812745,-6.19280888696958,2.77547149283042,-2.23126373409592,0.0256636644255556,0.076499974238128
"ZC3H10_22642",2.95640099041949,-5.49847497027459,3.01911316419913,-1.82122188577624,0.068573134920292,0.163773568243926
"MTRR_22644",37.0895844722114,-3.48728694492403,0.975613007192771,-3.57445720712391,0.000350955203781654,0.00213210804460936
"MTX1_22645",78.2205807767028,0.603658965533686,0.759340467471798,0.794977999188627,0.426626300091667,0.616564583675928
"MUC5B_22647",1.76255544755299,-4.74518371965399,3.58514886456486,-1.32356671895964,0.185646984351806,NA
"CARD9_22648",29.5494356854085,0.930619994447504,1.04598956622805,0.889702942069887,0.373625413841689,0.564661610733599
