GeneID,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
PTGDS_5555,2,4,4,1,0,13,5,5,5,6,5,1,9,8,0,0
PTGER2_5558,37,53,75,36,78,22,48,92,44,39,41,30,34,18,59,32
PTGES_5563,5,1,4,2,0,0,0,0,0,1,1,0,0,0,0,0
PTGFR_5569,41,88,101,72,27,21,24,67,10,17,20,13,8,0,1,0
PTGS1_5572,21,18,39,15,41,0,7,24,32,12,18,2,33,0,18,32
PTGS2_5577,139,104,140,94,10,154,192,104,187,140,144,101,248,593,557,737
PTH_5580,17,27,12,20,0,0,20,6,5,13,4,7,10,0,0,0
PTHLH_5582,4,15,23,12,0,17,14,22,1,6,3,4,0,0,0,0
PTK2_5583,49,60,66,52,21,10,0,42,17,11,15,12,16,0,0,0
PTK2B_5584,58,23,50,35,74,26,53,87,166,106,83,74,238,162,209,172
HACD3_5591,8,11,12,5,0,0,14,14,4,0,4,1,11,0,4,0
PTPN1_5592,49,50,72,38,61,140,58,84,23,40,26,32,52,55,90,33
PTPN11_5596,236,373,365,361,117,98,183,334,107,166,123,125,105,115,160,208
PTPN12_5598,110,64,125,86,104,40,85,158,274,150,142,100,283,29,246,173
PTPN6_5601,58,31,63,36,40,31,76,80,327,166,138,106,377,96,368,223
PTPRC_5605,57,41,74,39,176,45,84,104,186,98,79,62,407,60,197,130
PTPRG_5614,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
PTPRK_5618,94,254,316,265,21,44,67,149,36,162,134,103,70,19,23,0
PTS_5622,30,17,25,14,35,69,55,67,46,30,26,20,41,65,56,106
PTTG1_5623,33,32,42,30,0,0,18,44,3,6,8,4,6,0,0,0
PUF60_5625,4,2,0,0,0,0,9,0,6,2,3,4,0,4,12,10
PUM2_5626,34,55,56,49,27,3,15,26,22,11,12,12,29,0,11,0
PUS7_5632,4,3,6,2,0,0,0,0,12,9,11,2,54,0,12,21
PVALB_5633,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
PVR_5634,6,5,5,3,0,0,10,14,1,3,1,3,0,4,0,0
PVR_5635,3,2,1,2,10,0,0,0,5,3,2,4,0,0,2,12
NECTIN2_5636,4,3,1,1,0,9,0,0,2,3,1,0,0,0,0,20
PWP2_5639,22,30,25,27,33,83,76,64,18,19,24,16,17,48,78,76
PXMP2_5641,7,2,6,3,0,10,3,8,1,5,3,0,0,0,1,0
PXN_5642,17,7,19,14,82,22,38,51,35,34,16,18,68,118,101,81
PYCARD_5643,31,37,59,40,93,133,88,75,51,35,43,34,42,199,161,91
PYCR1_5644,1,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0
PYGL_5647,188,236,257,219,212,193,348,168,294,247,241,186,1063,682,943,1101
PYROXD1_5648,120,184,172,146,61,18,79,63,86,104,122,86,52,31,5,30
QPCTL_5650,4,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0
RAB11FIP2_5656,53,68,75,68,42,12,46,70,86,61,53,56,70,20,72,41
RAB21_5663,110,117,168,127,310,496,348,271,129,102,129,78,322,404,454,511
RAB27A_5667,136,134,186,151,102,88,165,185,217,138,146,118,197,108,432,208
RAB31_5670,69,54,75,45,61,41,95,94,337,207,168,144,405,194,542,427
RAB34_5671,1,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0
RAB4A_5674,73,94,102,99,32,42,65,98,38,34,28,26,0,7,12,12
RAB5A_5677,115,118,126,105,212,110,164,222,131,87,91,74,210,70,256,190
RAB9A_5689,10,39,33,35,0,0,18,32,2,4,10,9,0,9,0,0
RABAC1_5690,0,0,2,1,0,0,6,0,3,0,2,0,12,7,0,0
RAC2_5695,42,41,46,33,49,73,74,52,116,74,53,44,144,476,277,257
RAD21_5698,56,85,76,76,28,114,62,60,97,67,63,42,32,81,130,89
RAD23A_5701,248,272,339,300,396,614,661,600,200,143,186,123,213,316,422,350
RAD51C_5708,1,1,1,0,0,0,0,1,3,1,1,3,0,0,0,0
RAD9A_5709,1,2,5,2,0,0,0,0,3,1,0,2,3,0,0,12
RAE1_5712,4,1,6,5,0,11,10,11,17,8,11,1,56,35,22,45
RAI14_5716,10,46,36,26,0,20,27,9,1,8,16,8,0,0,0,0
RALA_5719,58,47,65,39,12,8,43,36,24,31,16,13,11,0,14,9
RALGDS_5721,29,10,26,7,52,91,56,60,16,21,10,14,67,20,53,35
RALY_5722,36,17,25,29,28,52,20,30,26,18,29,10,53,63,92,66
RAP1GAP_5729,4,1,8,3,0,0,0,6,7,4,0,2,21,2,10,0
RARA_5733,18,9,7,5,10,9,13,22,76,49,45,37,70,208,137,73
RARB_5734,72,77,47,63,0,0,36,51,27,24,37,41,24,0,3,0
RARG_5735,7,2,12,4,0,20,16,17,2,4,2,0,0,21,19,11
PLAAT4_5736,57,27,53,37,57,31,116,110,111,59,60,28,141,37,123,73
RASA1_5742,9,8,8,7,66,31,18,20,26,24,25,8,40,1,34,55
RASGRP1_5743,38,60,53,66,0,0,34,57,38,39,42,35,69,0,16,4
RASL10B_5744,4,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0
RASSF1_5747,20,25,29,29,112,64,80,49,32,27,26,24,74,36,75,112
RASSF7_5749,8,0,5,1,0,11,0,0,1,3,3,0,0,0,0,0
RB1_5752,13,12,18,15,63,22,46,47,17,12,18,11,79,33,46,31
RBAKDN_5753,2,2,4,1,0,0,0,0,3,2,1,0,0,0,0,0
RBFOX3_5755,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RBKS_5758,21,54,75,39,29,24,26,75,6,7,17,13,20,0,5,0
RBL2_5761,58,45,49,58,76,62,120,113,115,85,44,43,97,100,134,162
RBM12_5762,63,100,94,101,12,20,40,23,32,24,37,21,20,16,23,22
RBM15B_5765,1,1,2,2,4,0,5,0,6,1,2,1,4,4,1,0
RBM19_5767,10,8,15,6,16,0,24,1,16,11,8,5,40,5,11,0
RBM34_5768,7,5,3,1,0,6,0,0,9,4,1,3,22,0,8,11
RBM6_5774,50,29,54,28,102,16,57,129,94,52,35,24,16,0,64,50
RBMX_5776,52,71,48,42,22,15,34,106,30,25,29,17,17,18,63,48
RBX1_5781,10,12,14,7,17,0,10,0,5,1,2,0,0,0,3,0
RECQL_5786,145,186,196,198,119,66,184,289,162,158,153,114,128,66,159,80
REEP5_5789,27,30,30,18,76,220,143,92,35,25,28,15,51,153,135,134
REG1A_5790,36,29,58,60,25,12,14,29,13,12,10,7,10,0,0,0
RER1_5799,10,6,18,9,16,30,12,39,15,8,12,2,15,10,24,32
RET_5800,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
RET_5801,14,25,37,15,0,3,1,16,4,4,8,4,0,0,0,0
RETSAT_5803,12,32,22,19,26,14,10,26,11,24,9,5,15,6,12,0
RFC2_5805,5,2,6,3,0,8,6,4,12,2,2,3,24,0,13,0
RFC3_5808,9,5,7,6,0,6,9,8,8,4,2,0,27,0,0,6
RFC4_5811,6,7,10,5,14,0,5,5,5,6,6,3,6,0,0,0
RFC5_5812,15,18,24,26,0,0,3,16,7,7,6,1,17,0,6,10
RFNG_5813,11,2,2,4,15,10,16,28,9,5,8,4,27,4,10,24
RFX5_5817,45,33,41,25,31,79,165,15,49,27,34,22,63,50,70,115
RGPD3_5823,217,405,265,269,103,70,131,278,58,104,82,66,31,10,10,6
RHOT2_5841,21,6,6,5,0,8,20,9,22,9,6,4,11,0,3,14
RHOXF1_5843,2,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0
RIC8A_5846,29,28,44,32,66,165,104,97,54,33,32,19,75,193,78,132
RINT1_5857,3,0,2,1,8,3,1,0,13,6,1,2,27,10,10,22
RIPPLY3_5867,4,12,5,8,7,9,15,11,2,3,1,1,0,0,0,0
RIT1_5870,92,82,105,74,164,195,116,177,142,77,74,48,193,229,204,188
RLIM_5873,76,71,87,72,69,86,180,126,89,58,61,61,162,80,149,123
RNASEH2A_5875,19,5,6,14,0,27,16,0,9,7,8,4,0,60,25,18
RNF13_5882,83,101,139,99,113,31,98,186,44,42,52,54,80,51,77,81
RNF165_5884,1,2,7,5,0,7,0,0,1,0,0,0,0,0,0,0
RNF167_5885,40,24,54,17,43,26,61,81,100,81,58,58,120,54,160,157
RNF181_5886,7,3,13,4,0,0,9,4,12,8,12,2,29,0,22,29
